product_name,description,product_manufacturer,ASIN,prod_description,url
Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,"A super-slim backpack for men design, trendy looks and durable construction - this stylish 36 L backpack from ZIPLINE has got everything that will complement your youthful personality.This college bag has spacious interiors, this unisex backpack is a great option for short road trips, college and work. Ergonomic design of this school bag for boys are crafted from polyester, this medium school bag is sturdy enough to withstand regular wear and tear gracefully..Zipline laptop bag for men features a cushioned base and internal back padding to offer you extra comfort. The padded shoulder straps of this school bag for boys can be easily adjusted according to your liking. Spacious backpack is featuring with four pockets and three main compartments all with speciality zippers, this office bag for men offers you enough space to carry your books, files, travel accessories, stationery, keys and mobile accessories. It comes with the ZIPLINE promise of quality..The lighter your college Bag, the more you’ll enjoy hiking. With this in mind, we've ensured that the Zipline college bag weighs very light, and does not add extra weight to your back..The Zipline school bag has been provided with a bouncy mesh that prevents sweatiness by allowing air flow. The padded back panel of this school bag and shoulder straps helps make carrying heavier loads easier and more comfortable..Highly Durable and Water Resistant fabric have been used in this school bag for boys",Atulitu Agency,B08WQ668WJ,"A super-slim design, trendy looks and durable construction - this stylish 36 L backpack from ZIPLINE has got everything that will complement your youthful personality. With its spacious interiors, this unisex backpack is a great option for short road trips, college and work. Ergonomic design Crafted from polyester, this medium backpack is sturdy enough to withstand regular wear and tear gracefully. It features a cushioned base and internal back padding to offer you extra comfort. The padded shoulder straps of this bag can be easily adjusted according to your liking. Spacious Featuring one front pocket and three main compartments, all with speciality zippers, this bag offers you enough space to carry your books, files, coins, travel accessories, stationery, keys and mobile accessories. It comes with the ZIPLINE promise of quality.Product Description",https://www.amazon.in/Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1685048335&sprefix=ba%2Caps%2C283&sr=8-35
"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue","Pattern Type : Pure Color || Closure Type : Zipper || Gender : Unisex.Material : Snow Yarn Polyester Fabric || Handle/Strap Type : Soft Handle/Adjustable Shoulder Straps.Dimensions : 12.5 * 18 Inch || Capacity : 25 Litre || Fit for 15.6 Inch Laptops/Notebooks.Two Side Water Bottle Pockets || One Main Compartment And A Front Pocket.Eco-friendly, Durable, Lightweight, Flexible And Water-Resistant Material Helps To Keep The Interior Dry",Wesley,B07K8KLB3P,"ErgonomicContoured ShapeWith a slim, sleek and compactdesign you will love how this backpack can look small and compact even thoughit has 2 spacious compartments to store your gadgets, books, keys and even awater bottle!Fits YourLaptopYou can take along your gadgetswith you to office, college or anywhere with this backpack, as it has gotallotted storage space that fits a laptop of up-to 15.6 inches.Strong andLightweightDesigned with great qualitymaterials that are waterproof, tough and durable, this backpack is like noother as it features a lightweight design that is easy to maintain as well.PaddedBack StrapsThe back straps of the backpackare padded to give the user maximum support and it made with anti-sweatfabric, giving you the comfort throughout the day.SpaciousStorageFeaturing 2 compartments, the maincompartment and a front compartment to store smaller objects/pens/thinnotebooks etc. It also includes a laptop sleeve with a Velcro strap forsafety.BackSupportIt won’t feel uneasy to carryheavy things for a longer time with this bag as it has a cushioned backsupport that distributes weight evenly between your shoulders and back.A Bag forany weatherBe it those stormy rainy season,scorching heat, or freezing winters, this bag can endure as it is crafted,designed and made with quality and tough materials.",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1685048335&sprefix=ba%2Caps%2C283&sr=8-36
FUR JADEN Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port For Men Women Boys Girls,"KEY FEATURES - Black Colour Backpack for Men and Women for Stylish Office use as well as for Trendy College students. Huge compartment size that can fit upto a 15.6 inch Laptop with ease. Multiple pockets for other accessories..Charging On the Go - Now charge your phone on the go while travelling without the hassle of holding the bulky power bank in your pocket or in your hand. Simple Connect your Powerbank to the wire inside the Bag and leave it in the bag. When you want to charge your phone, just connect your phone charger to the bag and your phone will start charging. Note: We do not provide Power Bank with this Bag..Anti Theft Design - This backpack by Fur Jaden has anti theft design where zipper of the main pocket is hidden at the back. No thief, intruder or robber can find a way to open the backpack, making this totally theft proof. There are secret pockets on the shoulder strap and on the backside of the bag allowing us to keep travel documents, boarding pass, credit cards, mobile phone, earphones etc..Durable and Sturdy - Made from durable quality polymer fabric, this Fur Jaden backpack is sturdy and reliable. Flaunt this bag with style and enjoy life with this low maintenance bag which is also washable. This backpack is also suitable for school or college..Warranty - 1 Year Manufacturer Warranty Against Manufacturing Defects",Fur Jaden,B078GLXMDY,"This durable and lightweight backpack from Fur Jaden can keep you sorted throughout the day while also being super stylish, thus making it the perfect modern and functional accessory for any user – male or female. This backpack can be the perfect complement to your bold and charismatic persona, while its multiple inner chambers can hold all your stuff with convenience. Fur Jaden backpacks are young, vibrant and fashionable accessories which are also a symbol of sophistication. This backpack is high on aesthetics as well as on utility and functionality. This unisex backpack from Fur Jaden comes in an anti-theft design which lets you carry your laptop anywhere with confidence. Keep your belongings secure as your score high on the style quotient with this functional backpack. One of the most striking features of this backpack is that it allows you to charge your phone while you are travelling. The charging dock which comes attached to the backpack allows you to connect your portable charger seamlessly for maximum convenience.The material of this backpack from Fur Jaden is water resistant, which keeps any worries about getting it wet in the rain or accidental splashes at bay. Your laptop and every other belonging will stay safe from water as long as you keep them inside your backpack. This backpack from Fur Jaden comes with substantial capacity to accommodate your laptop and other goods with ease. The large capacity of this backpack can store laptops up to a 15.6 inches without any hassle. Weighing in at only 0.7kg, this Fur Jaden backpack with anti-theft feature is a breeze to carry around. Most of the weight you will feel is that of the goods you carry inside, as the backpack does not impose much weight on the user. This multipurpose and water resistant backpack from Fur Jaden can take you from day to night, thanks to its multiple compartments. With 1 main compartment and 7 small, inner pockets, it lets you store all your belongings and keeps them sorted too. Pattern: Solid.",https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1685048335&sprefix=ba%2Caps%2C283&sr=8-37
ADISA Laptop Backpack 31 Ltrs,"Adjustable Shoulder Handles / Two Bottle holders / Padded Top Handle / Reflector Logo.NOT INCLUDED: NO RAINCOVER, Headphone & Cable (Images only for display).Laptop Size : 15.6 inches and below (Bigger than 15.6 inches not recommended).Compartments: 2 with full padding; Front Easy-Access Pocket.Dimensions : L x W x H- 12 x 7 x 18 inches",ADISA,B07G3CG9FC,"Holding your bag on shoulder rather on hands convenient, to commute to your daily routine. Whether you are riding a two-wheeler, travelling by buses or catching trains to reach your destination, backpacks are the most suitable choice. Not restricted to laptops, backpacks are becoming common for colleges, schools and gyms.ADISA Light Weight Casual Laptop Backpack is one such multi-purpose bag created with extra-large compartmentS and pockets to organize every big and small accessory. Made of lightweight polyester, it is durable, waterproof and easy to carry. It can be cleaned easily or washed manually. If you are looking for money worth and durable backpack, then try this edition.Ideal Design To Relax Your BackBackpacks are an ideal option to carry laptops and luggage. To make it comfortable for daily usage, travelling in buses and catching trains, the bags are created with durable polyester fabric.To keep your back relaxed and free of pain, it has an ergonomic back design. It also features:Lightweight and easy to carryStrong and long-lasting strapsPadded Shoulder StrapAdjustable Strap LengthBreathable Mesh BackSweat-proof and AiryResistant to shrinking and stretchingLarge Capacity and Roomy CompartmentsTo meet your day to day need, Adisa Casual Laptop Backpack is a lightweight, multi-utility bag. It is fit to use as a laptop bag and a travel bag too. You can either take it to the office, tour, or gym. It exhibits multiple functionsMultiple Compartments and organizerWider base to hold more kinds of stuffPadded laptop compartment, can hold up to a 15.6-inch laptopMain compartment to carry a charger, clothes, books, headset and CDs etcDurable side pockets with elastic mesh fabric to hold the water bottle, sipper and protein shake etc. Suitable for college, office, gym and travellingQuality Metal ZipperTested for quality and pressure, the zipper is made of the metal locking with a compatible pulling strap keeping the laptop and other accessories safe within.Padded HandleThe bag features a strong padded handle, for an easy holding and comfortable grip to be used as a carry bag.Bottle HoldersKeeping your travel and gym needs in mind, the bag is fitted with two strong mesh fabric bottle holders on each side of the bag.",https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1685048335&sprefix=ba%2Caps%2C283&sr=8-39
"Safari Sneak Casual Backpack with USB Charging Port 26 Ltrs Water Resistant Fabric - Grey, L (SNEAK19CBGRE)","100% Polyester, High Quality, Durable and Water Resistant Fabric.Front storage pocket keeps smaller items neatly organized and easy to access.Mesh pockets on both sides to accommodate your water bottle and umbrella.USB Charging Point to Charge On the Go - With our attached charging dock, now charing on the go is easier than before. Important Note: We do not provide Free Portable Charger with the Bag; 1-year International Warranty against manufacturing defects.Special Features: Lightweight; Closure Type: Zipper; Age Range Description: Adult",Safari Industries,B09B2581S9,not_provided,https://www.amazon.in/Safari-Casual-Backpack-Charging-Resistant/dp/B09B2581S9/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1685048335&sprefix=ba%2Caps%2C283&sr=8-40
DEIN KLEIDER Men's Nylon Messenger Bag,"ERGONOMIC DESIGN: This ergonomic bag features zippered security pockets in the front, back and main compartment. The front pockets can be used to hold personal items like identification cards, keys and more while the extra pocket located in the back can be used for the storage of sleek items like mobile devices. The main storage pocket also has enough room to hold your gadgets, small water bottle cables, chargers etc. This bag can fit tablets and devices with screen sizes of up to 10.5.<br>.WATER, DIRT & SLASH RESISTANT: This cross body bag by Dein Kleider is ideal for people who are adventurous and always on the go. Its padded storage is resistant to water, dirt and even a slash by sharp objects, so you dont have to worry about anything. This bag is durable and heavy duty, ensuring that your gadgets and valuables are safely stored.<br>.CRAFTED IN INDIA: Dein Kleider cross body sling is crafted with perfection by professional Indian artisans in an elegant style that makes your presence truly class apart. Its an ideal companion for a comfortable all day carry to school/college, malls, morning walk, office and meetings. It can also be easily used as travel accessory for a train or bus journey.<br>.Outer Material Type: Nylon",Safari Industries,B084ZHP97M,"Spacious and convenient, ideal for use as Messenger Bag.perfect product from DEIN KLEIDER for storing in your Objects to take with you for extra storage.",https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1685048335&sprefix=ba%2Caps%2C283&sr=8-41
F Gear Luxur Brown 25 liter Laptop Backpack (2404),"Capacity: 25 liters, Weight: 800 grams, Dimensions: 31 x 18 x 44 cm (L x W x H)",Uber Fashion Merchandise Pvt. Ltd.,B01F7AX9ZA,"A fashionable laptop backpack. This full-featured pack makes space for everything essential with multiple zip pockets on the exterior, plus a ready-to-go interior with padded laptop compartment and other storage solutions. Pattern: Solid. Laptop Size: 16",https://www.amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_42?crid=2M096C61O4MLT&keywords=bags&qid=1685048335&sprefix=ba%2Caps%2C283&sr=8-42
ADISA 31 Ltrs Casual Backpack School College Bag Pack (Navy Blue),Material: Water Resistant Light-Weight Polyester.Compartments: 2 (padded) + 1 front easy-access pocket.Laptop Size : 15.6 inches and below (Bigger than 15.6 inches not recommended).Dimensions: LxWxH- 31 x 20 x 47 cms.Adjustable Padded Shoulder straps / 2 Bottle holders / Padded Top-handle / Reflector Logo,ADISA,B0BX3QFVSM,"Light weight and spacious laptop backpack with 2 compartments and 1 front easy-access pocket. One compartment is for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc. along with space for carrying papers, files, etc. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort.",https://www.amazon.in/ADISA-Casual-Backpack-School-College/dp/B0BX3QFVSM/ref=sr_1_45?crid=2M096C61O4MLT&keywords=bags&qid=1685048335&sprefix=ba%2Caps%2C283&sr=8-45
POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,Backpack,ADISA,B09CQ5T3LN,Backpack,https://www.amazon.in/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN/ref=sr_1_46?crid=2M096C61O4MLT&keywords=bags&qid=1685048335&sprefix=ba%2Caps%2C283&sr=8-46
URBAN CARRIER School Bag For girls school bags for boys Class 5-10 Large 4 partition 45 L Laptop Collage Office Travel Unisex Backpack,"Care Instructions: Hand Wash Only.Fit Type: Regular<br><br>.Fabric : Polyester, Stylish And Durable Backpack For Office School /College And Travel. Easily Accommodate A Laptop. Size: 40 Cm X 33 Cm X 25 Cm<br><br>.Adjustable Padded Shoulder Straps / 2 Bottle Holders / Duble stitching For Carry Havy books / Stylish look/Comfortable Shoulder starps; Padded Back Panel And Padded Shoulder Straps<br><br>.Suitable For : Casual Backpacks , Laptop Backpacks ,School Bags ,Office Backpacks ,College Bag ,Daypacks , Travel Backpack , Casual Bags, Backpacks , Bagpacks<br><br>.Color Name: Navy White; Closure Type: Zipper; Water Resistance Level: Waterproof; Age Range Description: Adult; Special Features: Laptop Compartment<br>",URBAN CARRIER,B09NNYCQ1Q,not_provided,https://www.amazon.in/School-school-partition-Collage-Backpack/dp/B09NNYCQ1Q/ref=sr_1_47?crid=2M096C61O4MLT&keywords=bags&qid=1685048335&sprefix=ba%2Caps%2C283&sr=8-47
Half Moon 55 litres Travelling Laptop Bag/Rucksack Backpack for Luggage Travel Journey Trekking Hiking Bags for Men Women Boys and Girls with Laptop Compartment & Rain Cover,"ROOMY ENOUGH BACKPACK FOR MEN: This laptop bag for men is ultra lightweight comes with three main compartment having the capacity of approx 55 Ltr, big enough to carry laptop of all sizes, books, clothes, camping gear; 4 main compartments to store all your essentials and 1 small front pocket to carry small accessories. It also features an Internal Organiser(small pockets inside a office bag for men / office bag for women)..COMFORT WITH QUALITY: This backpack for men has wide, padded and adjustable shoulder straps and padded back for comfort in carrying heavy items. The College Bags for men is stitched properly and Bartacks on every pressure point for extra durability. The backpack for men is made with strong yet light weight polyester fabric with heavy zippers. The laptop bag for men also comes with a Rain cover so that you can travel during rainy season without any problem..PROUDLY MADE IN INDIA: Half Moon laptop bag for men is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this college bags for men is Made in India by Indians using Indian materials..QUALITY OF BACKPACK FOR MEN: A major problem in many rucksack/office bag for men is that it get torn between your journey but this Rucksack is strong enough to hold even the heaviest of your items without any problem. It is made up of a strong polyester material, is stitched properly, and is bartacked on every pressure points for extra strength..OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Rain Cover, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc.",Half_Moon,B09WDGZ32L,Premium QualityWater-ProofSafe PackagingTrekkingHolidaysTravel,https://www.amazon.in/Half-Moon-Travelling-Rucksack-Compartment/dp/B09WDGZ32L/ref=sr_1_48?crid=2M096C61O4MLT&keywords=bags&qid=1685048335&sprefix=ba%2Caps%2C283&sr=8-48
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)","Made of multi-coated 600D polyester Material ; Water Repellent.Dimension: 26cm x 38cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters.Small Size backpack; Laptop Compatibility: No.This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more.With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books.6 months limited warranty",Korrun India Pvt. Ltd,B088XB5XY8,"It's an edgy mix of fashionable details and practical usability. This backpack is made to accompany you on any adventureWith a capacity of 12 litres, this backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more.The multi coated, water-repellent 600D polyester fabric design keeps your belongings safe whether you're on a short excursion or bustling through a commute.The Mi Step Out Backpack is available in 4 trendy colors. The array of vibrant colors allow you to make your pick and stand out wherever you go.Fully equipped with a water repellent exterior, contra zippers, reflective pullers and adjustable shoulder straps, this backpack is ideal companion for a hands-free dayWeighing just 200g, this backpack is easy to carry whether you're toting it through the airport, hitting the gym, exploring a new city or using it as a carrier for your books.",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_49?crid=2M096C61O4MLT&keywords=bags&qid=1685048335&sprefix=ba%2Caps%2C283&sr=8-49
NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,"Care Instructions: Machine Wash.Sleek, Stylish and Premium: Heavy duty ultra premium bag with exterior dimensions 44x29x15 cms. Made of Durable Polyester Fabric with Double zippers. sturdy durable, scratch resistant.; Multi Utility Bag: It is not only a student backpack, but also can be used as a business/work backpack, travelling, office, computer bag, hiking bag, daily bag and a lot more..Storage Space: There is a separate laptop compartment inside the backpack that can hold upto 15.6 inches laptop. The internal packaging compartment and external pockets can hold daily necessities, keeping your items organized and easier to find..Quick Storage: The front and side zipper pockets of the backpack are convenient for storing tablets, diaries, pens and pencils, smartphones, cards, change, etc. The side pockets of the backpack are convenient for storing compact umbrellas and other small items.",SHABA BAGS,B0BS6QQZYN,"Care Instructions: Do not expose to extreme heat The Hype 1 Casual Backpack from Northzone Sport features an elegant look and feel. It is a perfect every day carry for speedy city commutes, college or school. Keeping it unique and stylish, this Northzone backpack features a versatile shaded design with the Northzone logo print on the face of the bag. Sturdy, spacious and elegant are the spirit of this backpack. Plenty of Space & Pockets: This college bags for girls and boys features two spacious compartments that can each fit book, iPad, A4 size files, lunch box, light clothes, school supplies & accessories. It also features a zip compartment with multiple organizer pockets for keys, pens, pencils, cell phone, power bank, etc. The twin mesh pockets on each side helps pack in a water bottle and a compact umbrella. Lightweight & Sturdy: This school bags for girls and boys features a multi ventilated 10mm robust mesh padding that provides maximum back support. The straps are breathable, padded and adjustable that helps to relieve the stress on your shoulder. The top of the backpack features a webbing loop top handle that helps in carrying the backpack with ease. External Dimension: Length – 33cm, Width – 21cm, Height – 49cm, Weight – 1,000 grams. Capacity – 34 litres. Laptop Compatibility – yes",https://www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QQZYN/ref=sr_1_50?crid=2M096C61O4MLT&keywords=bags&qid=1685048335&sprefix=ba%2Caps%2C283&sr=8-50
AUXTER Faux Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE_0521_Black),"Material / Dimension : Outer Material - Premium leatherette Fabric, Inner Material – Soft Polyester, Size: 43 cm x 23 cm x 23 cm. (L x B x H), Color : Black.Capacity: 23 Liters, 1 Large Double Zip Closure Compartment, 1 external Mesh Organizer Pocket for the earphones, ID card, Sanitizer, House keys, Fitness Band. 1 Main Compartment for all your Gym Clothes, Gym belt, towel, Gym gloves, shaker, shoe Pair etc..Design: Design with Self Embossed logo On the Premium Leatherette Heavy Quality Material. 3.8 Cm Wide and 125 cm Long Adjustable Handle and Double side easy carry handle..Manufacturing & Warranty: This Product is made in INDIA By “The INDIAN KARIGAR “ and pass though the many quality checks and tests This Product is come With 1 year of Warranty..Suitable: Auxter Black Gym Bag/ Duffel bag is suitable for gym, Day trip bag, casual round bag, travel bag is suitable for men women boys and Girls. This Bag is trending For Gift Purpose",Auxter,B07F2H25NP,"AuxterBLACKY Gym bag is the perfect companion for your daily workout or as a secondcarry-on during your weekend getaway. It made from leather material forbetter comfort and durability. The large compartment of the bag for your gymclothes and other personal items. It has a comfortable, sturdy and adjustablestrap, so it can be used as a handbag or cross bag as you like. It's isperfect for travel, sports, workout, athletics, fitness, running, jogging,track and field, basketball, tennis, soccer, football, yoga, swimming,camping, hiking, overnight and other outdoor activities.Shoulder StrapTworeinforced belts on each side of the duffle bag act as handles for aversatile means of carrying. The long shoulder strap has a buckle which isfully adjustable to support a customized fit.Large CapacityThis baghas a spacious compartment with large volume capacity. It is spacious enoughto accommodate your gym clothes and other personal items. When not in use,this gym bag folds into a flat, compact size, taking up minimal space on ashelf or in a closet.DurableMade ofquality leather, the bag is of a solid construction with sturdy stitching toprotect against wear and tear. It has a strong two-way zipper closure whichpulls without any resistance.",https://www.amazon.in/AUXTER-BLACKY-Duffel-Emboss-Black/dp/B07F2H25NP/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1685048335&sprefix=ba%2Caps%2C283&sr=8-51
"Artistix Talon Anti Theft Design Laptop Backpack, With USB Charging Port (46 Cm, 25L,Black)","Fit Type: Western.MATERIAL: High Density Nylon, Water Resistance. Dimension: L x W x H (46 x 30 x 14 cm). Capacity: 25 Litres. No. of compartment: 1.FRONT STASH POCKET for small book, documents, goggle, medicines etc. TROLLEY CASE for easy to carry. AIR MESH and PU FOAM- BACK PADDING give extreme comfort. Reflective in front for night safety..USB CHARGING PORT. Extended out charging port allows you to charge your phone while you are on the move. With an attached charging dock, you may connect a portable power bank with ease. 12 Months Warranty","Durant International. Address : GIDC Lodhika, Rajkot-360021, Gujarat. Customer Care : 9809804990",B082PKX18C,"Business Casual Charging Pack. USB CHARGING, GUARD AGAINST THEFT, WATER REPELLENT FABRIC. For Business travel. Structure: Laptop / Ipad Pocket / Phone / Document / Camera / Zipper Pockets.... Capacity: 15.6 Inches Laptop / I pad / Clothes / water bottle/ Umbrella / Cosmetic. No of Compartment : 1",https://www.amazon.in/Artistix-Backpack-Anti-Theft-Charging-Resistance/dp/B082PKX18C/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1685048335&sprefix=ba%2Caps%2C283&sr=8-52
Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Black),"Pattern Type : Pure Color || Closure Type : Zipper || Gender : Unisex.Material : Snow Yarn Polyester Fabric || Handle/Strap Type : Soft Handle/Adjustable Shoulder Straps.Dimensions : 12.5 * 18 Inch || Capacity : 25 Litre || Fit for 15.6 Inch Laptops/Notebooks.Two Side Water Bottle Pockets || One Main Compartment And A Front Pocket.Eco-friendly, Durable, Lightweight, Flexible And Water-Resistant Material Helps To Keep The Interior Dry",Wesley,B07NJRPJ6Q,"ErgonomicContoured ShapeWith a slim, sleek and compactdesign you will love how this backpack can look small and compact even thoughit has 2 spacious compartments to store your gadgets, books, keys and even awater bottle!Fits YourLaptopYou can take along your gadgetswith you to office, college or anywhere with this backpack, as it has gotallotted storage space that fits a laptop of up-to 15.6 inches.Strong andLightweightDesigned with great qualitymaterials that are waterproof, tough and durable, this backpack is like noother as it features a lightweight design that is easy to maintain as well.PaddedBack StrapsThe back straps of the backpackare padded to give the user maximum support and it made with anti-sweatfabric, giving you the comfort throughout the day.SpaciousStorageFeaturing 2 compartments, the maincompartment and a front compartment to store smaller objects/pens/thinnotebooks etc. It also includes a laptop sleeve with a Velcro strap forsafety.BackSupportIt won’t feel uneasy to carryheavy things for a longer time with this bag as it has a cushioned backsupport that distributes weight evenly between your shoulders and back.A Bag forany weatherBe it those stormy rainy season,scorching heat, or freezing winters, this bag can endure as it is crafted,designed and made with quality and tough materials.",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07NJRPJ6Q/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1685048338&sprefix=ba%2Caps%2C283&sr=8-51
F Gear Colorado Grey Orange 39 Ltrs Laptop Backpack (3814),"2-main zippered compartment, one inside sleeve for laptop, a front pocket with an organizer..One zippered front pocket, one mesh zippered pocket & two mesh pockets on both sides..Thick padding anti-sweat breathable air mesh & adjustable padded shoulder straps..World’s best Japanese brand YKK zippers and sliders..Comes with the F Gear promise of quality and durability.",Uber Fashion Merchandise Pvt Ltd,B097K6KD7W,F Gear presents gigantic laptop backpack blends style and functionality. It comes with substantial capacity to accommodate your laptop and several other essentials with ease. This bag does way more than just look good. It provides extra protection for all your valuable devices. The dimensions of the bag are - 34 x 22 x 52 with a capacity of 39 L. To describe it briefly here are the following points: 1. This backpack is made of polyester fabric and is treated to make it water-resistant. 2. This backpack comes with 2-main zippered compartment with an inside sleeve compatible for laptop. 3. This backpack has a front compartment with an organizer. 4. This backpack comes with one zippered front pocket & one quick access mesh zippered. 5. This backpack is equipped with thick padding with anti-sweat breathable air mesh & adjustable padded shoulder straps for extra comfort. 6. Apart from this it has world’s best Japanese brand YKK zippers and sliders. 7. This backpack has two mesh pockets on both sides. 8. Comes with the F Gear promise of quality and durability.,https://www.amazon.in/Gear-Colorado-Orange-Laptop-Backpack/dp/B097K6KD7W/ref=sr_1_53?crid=2M096C61O4MLT&keywords=bags&qid=1685048338&sprefix=ba%2Caps%2C283&sr=8-53
Northzone Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office (Black) 40L,"COMPATIBLE WITH 15.6 INCH LAPTOP”: The Northzone Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 499g.HIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items.CONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use.CONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use..HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop.",Northzone,B0BL3TVDK6,"NORTHZONE BACKPACK If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility This backpack can fit a 38.1 cm laptop comfortably. Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily.",https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3TVDK6/ref=sr_1_54?crid=2M096C61O4MLT&keywords=bags&qid=1685048338&sprefix=ba%2Caps%2C283&sr=8-54
Gear Vintage2 Anti Theft Faux Leather 18 cms Tan Laptop Backpack,"Outer material: synthetic, color: Tan.Waterproof, Capacity: 27 liters; Weight: 600 grams; Dimensions: 48 cms x 33 cms x 18 cms (LxWxH).Number of compartments: 2; Laptop compatibility: yes, laptop size: 16strap type: adjustable.Warranty type: Manufacturer; one year warranty against all manufacturing defects, workmanship, assistance during time of claim of warranty.Closure Type: Zipper; Special Features: Back Padding; Age Range Description: Adult; Pocket Description: Utility Pocket.Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,3 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot ..Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,3 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot .",Gear,B07G4F3758,not_provided,https://www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH1901/dp/B07G4F3758/ref=sr_1_56?crid=2M096C61O4MLT&keywords=bags&qid=1685048338&sprefix=ba%2Caps%2C283&sr=8-56
